fase,nome,data,alvo_tema_principal
33,Resta Um,2016-08,"Queiroz Galvão, cartel de empreiteiras"
34,Arquivo X,2016-09,"Guido Mantega, ex-ministro"
35,Omertà,2016-09,"Antonio Palocci, ex-ministro"
36,Dragão,2016-11,"Operadores financeiros Adir Assad e Rodrigo Tacla Duran"
37,(Calicute),2016-11,"Sérgio Cabral, ex-governador do RJ (Operação Calicute, com a força-tarefa do RJ)"
38,Blackout,2017-02,"Lobistas Jorge Luz e Bruno Luz"
39,Paralelo,2017-03,"Roberto Gonçalves, operadores financeiros"
40,Asfixia,2017-05,"Ex-gerentes do departamento de Gás e Energia da Petrobras"
41,Poço Seco,2017-05,"Exploração de petróleo no Benin, ex-gerentes da Petrobras"
42,Cobra,2017-07,"Aldemir Bendine, ex-presidente da Petrobras"
43,Sem Fronteiras,2017-08,"Ligação de executivos da Petrobras com estrangeiros"
44,Abate,2017-08,"Deputado Cândido Vaccarezza, contrato Sargeant Marine"
45,Abate II,2017-08,"Tiago Cedraz, ex-deputado Sérgio Tourinho Dantas"
46,,2017-11,"Luiz Carlos Moreira Silva, Petroquisa"
47,Sothis,2017-11,"José Antônio de Jesus, ex-gerente da Transpetro"
48,Integração,2018-02,"Corrupção em concessão de rodovias federais no Pará"
49,Buona Fortuna,2018-03,"Antônio Delfim Netto, ex-ministro, Belo Monte"
50,Sothis II,2018-03,"Propinas na Transpetro, José Antônio de Jesus"
51,Déjà Vu,2018-05,"Propina de US$ 24,7 milhões da Odebrecht"
52,Greenwich,2018-06,"Djalma Rodrigues de Souza, Petropesquisa"
53,Piloto,2018-09,"Beto Richa, ex-governador do Paraná"
54,Sem Fronteiras (fase 2),2018-09,"Mário Ildeu de Miranda, operador em Portugal"
55,Integração II,2018-09,"Pepe Richa, irmão de Beto, rodovias ""Anel de Integração"""
56,Sem Fundos,2018-11,"Corrupção na sede da Petrobras em Salvador"
57,Sem Limites,2018-12,"Grupo criminoso em negócios de petróleo e afretamento de navios"
58,,2019-01,"Beto Richa novamente preso"
59,Quinto Ano,2019-01,"Transpetro, propinas de empresas"
60,Ad Infinitum,2019-02,"Paulo Preto, ex-diretor da Dersa, operador do PSDB"
61,Mamon,2019-05,"Banco Paulista, lavagem de dinheiro da Odebrecht"
62,Rock City,2019-07,"Walter Faria, Grupo Petrópolis, propinas"
63,Carbonara Chimica,2019-08,"Propinas da Odebrecht, ex-ministros, Medidas Provisórias"
64,Pentiti,2019-08,"Lavagem de dinheiro da Odebrecht, R$ 6 bilhões"
65,Galeria,2019-09,"Márcio Lobão, filho de Edison Lobão"
66,Alerta Mínimo,2019-09,"Funcionários do Banco do Brasil, lavagem de dinheiro"
67,Tango & Cash,2019-10,"Licitações fraudulentas na Petrobras, R$ 60 milhões"
68,,2019-11,"Empresas Vitol e Trafigura, Genebra, Suíça"
69,Mapa da Mina,2019-12,"Oi/Telemar, Fábio Luis Lula da Silva"
70,Óbolo,2019-12,"Afretamento de navios da Petrobras, R$ 6 bilhões"
71,Sem Limites II,2020-06,"Trading da Petrobras, organização criminosa"
72,Navegar é Preciso,2020-08,"Transpetro, estaleiro Eisa, fraude em licitação"
73,Ombro a Ombro,2020-08,"Vital do Rêgo Filho, ex-senador, CPMI"
74,Sovrapprezzo,2020-09,"Fraudes em câmbio comercial da Petrobras"
75,Boeman,2020-09,"Grupo Seadrill, contratos de navios da Petrobras"
76,Sem Limites III,2020-10,"Vantagens indevidas a funcionários da Petrobras"
77,Sem Limites IV,2020-10,"Diretoria de Abastecimento da Petrobras"
78,Sem Limites V,2020-11,"Diretoria de Abastecimento, Marketing e Comercialização"
79,Vernissage,2021-01,"Márcio e Edison Lobão Filho, fraudes em licitações"
